GET http://localhost:8090/ name=http://localhost:8090/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=11230 notes=4 sig=0x4cacdc1b
GET http://localhost:8090/wavsep/ name=wavsep type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1504 notes=2 sig=0x2a718139
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=69 name=69 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=7 name=7 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=70 name=70 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=71 name=71 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=72 name=72 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=73 name=73 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=74 name=74 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=75 name=75 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=76 name=76 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=77 name=77 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=78 name=78 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=789 name=789 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=79 name=79 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=8 name=8 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=80 name=80 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=81 name=81 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=82 name=82 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=83 name=83 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=84 name=84 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=85 name=85 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=86 name=86 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=87 name=87 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=88 name=88 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=8859 name=8859 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=89 name=89 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=9 name=9 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=90 name=90 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=91 name=91 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=92 name=92 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=93 name=93 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=94 name=94 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=95 name=95 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=96 name=96 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=97 name=97 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=98 name=98 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=99 name=99 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=and name=and type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=by name=by type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=Case name=Case type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors name=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1558 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors name=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1550 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors name=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1554 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors name=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1558 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=change name=change type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=check name=check type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=column name=column type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=div name=div type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=Double name=Double type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=for name=for type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=from name=from type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1496 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=in name=in type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=index name=index type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=into name=into type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1496 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=is name=is type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=match name=match type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=message name=message type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=MsgId name=MsgId type=value linked=no browsers=0 browser_used=FAST dup=0 code=200 len=730 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=Numeric name=Numeric type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1502 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=option name=option type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=or name=or type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=ORDER name=ORDER type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=right name=right type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=SELECT name=SELECT type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=Sql name=Sql type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=SQL-Injection name=SQL-Injection type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1514 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=TABLE name=TABLE type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=title name=title type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=467 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=to name=to type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=Update name=Update type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=use name=use type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=values name=values type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=where name=where type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors.jsp DATA:msgId=with name=with type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp name=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=649 notes=2 sig=0x20bfe0ee
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=10000 name=minBalanace type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=378 notes=3 sig=0x8ce13eeb
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=AND name=AND type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=by name=by type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=Case name=Case type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors name=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1558 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors name=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1550 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors name=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1554 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors name=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1558 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=column name=column type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=div name=div type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=Double name=Double type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=for name=for type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=from name=from type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1496 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=in name=in type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=Index name=Index type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=into name=into type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1496 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors.jsp DATA:minBalanace=is name=is type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
